epoch,accuracy,loss,val_accuracy,val_loss
0,0.7361809,1.0333474233309838,0.7771108150482178,0.5984761484769308
1,0.79574865,0.5297669684904956,0.8183273077011108,0.48617886015776396
2,0.83248097,0.42972613809139165,0.8287314772605896,0.44857213545103175
3,0.86487746,0.34841485967678304,0.8401360511779785,0.41901376881614694
4,0.8872015,0.2929440300265409,0.8523409366607666,0.4095614935193552
5,0.903522,0.25147084230928585,0.8625450134277344,0.42397993630101655
6,0.91584027,0.2205046988626423,0.8671468496322632,0.4162025544442096
7,0.9262685,0.19354825114569826,0.8649460077285767,0.4359144715725684
8,0.93409526,0.17196635065655194,0.8621448874473572,0.4466353844241554
9,0.9441455,0.14591057673868651,0.865946352481842,0.469518125510397
10,0.9472584,0.14017865239351945,0.860944390296936,0.4842234359306543
11,0.9528839,0.1265687764346316,0.8703481554985046,0.5156098840331116
12,0.95888734,0.10862926060265346,0.8681472539901733,0.5203429654437383
13,0.96235603,0.10013915720884578,0.8671468496322632,0.5613615169268505
14,0.96675855,0.09223971183372805,0.8701480627059937,0.6243542807013476
15,0.9696047,0.08476942008123575,0.8689475655555725,0.6523862533113297
16,0.9670254,0.09089238918310816,0.8635454177856445,0.6395970533351127
17,0.9727843,0.0762811684424771,0.87715083360672,0.6646285251933797
18,0.9745853,0.06964567241765396,0.8697478771209717,0.6808441717799256
19,0.9723618,0.07898208392614939,0.8729491829872131,0.6976636589026632
20,0.9753858,0.06949773326654647,0.8703481554985046,0.7514563392953617
21,0.97391826,0.07356346473869796,0.8657463192939758,0.7377250254416571
22,0.9778761,0.061297279568762214,0.8675470352172852,0.7479284846482157
23,0.97852093,0.06020210159714471,0.8567426800727844,0.8033451915216617
24,0.97765374,0.0638717374574159,0.8765506148338318,0.8599994106500709
25,0.97772044,0.065505774410486,0.8797519207000732,0.8087516813909783
26,0.98076665,0.05582991432392428,0.872148871421814,0.763347087621021
27,0.98372394,0.049226054098809466,0.8779512047767639,0.8695842483464409
28,0.98063326,0.059609853121864,0.8713485598564148,0.893466844254372
29,0.97903234,0.05995848848597398,0.8737494945526123,0.9053541180991134
