epoch,accuracy,loss,val_accuracy,val_loss
0,0.7217281,1.0684471940084568,0.7466986775398254,0.7139851347166521
1,0.7612398,0.6381203978624245,0.7835134267807007,0.6145221855030769
2,0.8019967,0.5111708589073455,0.7927170991897583,0.5915023730534847
3,0.8349713,0.4234778561261622,0.7977190613746643,0.5790550045940388
4,0.86481076,0.3486566890108796,0.8103241324424744,0.5945869364849135
5,0.8906924,0.2836829161770682,0.8019207715988159,0.6135289361592339
6,0.9126384,0.23331491221803544,0.8179271817207336,0.6625099793678763
7,0.93004847,0.18783870220380472,0.8231292366981506,0.6968448961100706
8,0.94614667,0.14876538263745256,0.8107243180274963,0.7271189074985692
9,0.9564415,0.125602689663995,0.8225290179252625,0.8051380289464343
10,0.9644906,0.10765404108678663,0.8313325047492981,0.8309518612113271
11,0.9712056,0.09036071765320507,0.8263305425643921,0.8545764561842422
12,0.97658646,0.07233051784684794,0.8337334990501404,0.8793099424084362
13,0.9809223,0.06156319779115162,0.8365346193313599,0.9586355005707345
14,0.98192286,0.05984510743438299,0.8333333134651184,0.9645977954999978
15,0.98252326,0.05941127941085937,0.8363345265388489,1.0116697343743863
16,0.9860586,0.05135994106955243,0.8301320672035217,1.0439412567127986
17,0.98657,0.04685629551869339,0.8265306353569031,1.0537047556229904
18,0.9889714,0.04119527284827115,0.8405362367630005,1.052520212696857
19,0.9893272,0.039796771318868135,0.8407362699508667,1.1046362345149012
20,0.9902388,0.03716102177960158,0.8363345265388489,1.112002276238941
21,0.98970515,0.04190616380778989,0.8415366411209106,1.0935198823277021
22,0.99001646,0.03720600406488979,0.8327330946922302,1.1614337178553138
23,0.99079466,0.035755084838227646,0.8331332802772522,1.1536333040267575
24,0.98943835,0.03797668933519851,0.8357343077659607,1.1777425333231437
25,0.98988307,0.03853475007815792,0.8337334990501404,1.1604042529773597
26,0.9883266,0.04427883992470344,0.8313325047492981,1.208581678697518
27,0.9876373,0.04469702492977104,0.8381352424621582,1.178599275699278
28,0.99043894,0.035464669523232455,0.8379351496696472,1.2261337948923543
29,0.99139506,0.03400200963624667,0.8413365483283997,1.1790733183799338
