epoch,accuracy,loss,val_accuracy,val_loss
0,0.7374483,0.7478957986027995,0.7813125252723694,0.6105948346478789
1,0.7960822,0.5450582922832938,0.8345338106155396,0.44621025571445316
2,0.8393739,0.4236906402271257,0.8571428656578064,0.3770348782442054
3,0.86496645,0.3503276358244709,0.8739495873451233,0.3402574062347412
4,0.8878463,0.2968723528495004,0.8887555003166199,0.2995193787411052
5,0.90094274,0.2642214519204541,0.8927571177482605,0.28293841860207525
6,0.9128163,0.23142312694256953,0.9079631567001343,0.26329649515560316
7,0.926313,0.19708592143447676,0.9135653972625732,0.24004557537956206
8,0.9325388,0.17880019001977823,0.9159663915634155,0.23481649886660216
9,0.9364966,0.17303039864260278,0.918567419052124,0.2442274136798961
10,0.93860894,0.16332103078495314,0.918367326259613,0.23317725673204615
11,0.9451683,0.1446107287946748,0.924569845199585,0.2260633001879913
12,0.9447236,0.14681138531650512,0.9285714030265808,0.2238215782395264
13,0.9485258,0.14064966768056833,0.9259703755378723,0.22574999041202404
14,0.9561302,0.11835195063549367,0.9329732060432434,0.21327542241404848
15,0.9557522,0.11765036809323559,0.9259703755378723,0.22654051474687242
16,0.9589096,0.11027493913677719,0.9279711842536926,0.2366075069129634
17,0.95950997,0.10758143050448925,0.9315726161003113,0.21770877480840817
18,0.9523058,0.12741013305371815,0.9319728016853333,0.20964596819739287
19,0.9613332,0.10344625834787959,0.9321728944778442,0.23325394952044387
20,0.96200025,0.09931360348358677,0.9387755393981934,0.21207290982045665
21,0.9664028,0.09237357941615383,0.9433773756027222,0.1912050738113792
22,0.968404,0.08483510327922575,0.9447779059410095,0.1920799977329074
23,0.9707609,0.08099756258087054,0.9355742335319519,0.22665478596214106
24,0.96964914,0.08479875080973638,0.9359744191169739,0.23076191712685135
25,0.9703162,0.08364498157120617,0.9375750422477722,0.22146094934183772
26,0.96591365,0.0957961350479938,0.9377751350402832,0.23935936668626115
27,0.9696047,0.0845683545179676,0.94197678565979,0.2041044582505854
28,0.9705608,0.08103049865466547,0.9377751350402832,0.20895386508413677
29,0.97060525,0.08197680323773972,0.9409763813018799,0.20938682140541726
