epoch,accuracy,loss,val_accuracy,val_loss
0,0.72726464,0.8139330908393045,0.738095223903656,0.7428167366943345
1,0.73240095,0.7270014257149428,0.7607042789459229,0.6540571877888652
2,0.7439187,0.7007037719221544,0.7444977760314941,0.6781108573752911
3,0.7618846,0.6215646984833018,0.7987194657325745,0.5485384732592149
4,0.8004625,0.5185763455025165,0.8245298266410828,0.4712620210342285
5,0.8323031,0.44205566223404463,0.8449379801750183,0.4133281104800319
6,0.85738426,0.3774342448554372,0.8731492757797241,0.352629838704395
7,0.87817407,0.3258742633150901,0.8879551887512207,0.314433016613418
8,0.89447236,0.2764767405760104,0.889955997467041,0.30047426406456595
9,0.90954775,0.24115990830882147,0.8989595770835876,0.2876074370525989
10,0.91741896,0.2241236905756992,0.9027611017227173,0.28040459898768927
11,0.92858094,0.19116914600058352,0.9153661727905273,0.24214871256959206
12,0.9353182,0.17390868160182005,0.9177671074867249,0.2439542140136389
13,0.94214433,0.15660857084835228,0.9191676378250122,0.24378203184140018
14,0.9477031,0.14177548270930168,0.9223689436912537,0.23596562154772951
15,0.9498377,0.13443640049996072,0.9213685393333435,0.22806843078914
16,0.95515186,0.11708925188637387,0.924569845199585,0.2349050678625828
17,0.95882064,0.10735394692057293,0.9221688508987427,0.25209731654245027
18,0.96106637,0.1049566262698552,0.9233693480491638,0.2872043094572042
19,0.9611109,0.10320486078564713,0.9341736435890198,0.23351487369478202
20,0.9662694,0.0906721674775255,0.9345738291740417,0.22886544678296122
21,0.9696269,0.08080713951843993,0.9307723045349121,0.2478459749330564
22,0.9688042,0.08466201428196919,0.9327731132507324,0.2645530849874091
23,0.9700494,0.07713646589072924,0.9335734248161316,0.26339817637441254
24,0.9704051,0.0787929746424176,0.9377751350402832,0.24283199448163817
25,0.9719171,0.07888321138200412,0.9383753538131714,0.2238699635203813
26,0.9729177,0.07395704792812549,0.9381752610206604,0.22717754895828304
27,0.97745365,0.0604587694362562,0.9389755725860596,0.2398614298586561
28,0.9735625,0.07546884632231332,0.9351740479469299,0.2582088460584505
29,0.9796327,0.057049885921983054,0.936774730682373,0.2828287324723171
