epoch,accuracy,loss,val_accuracy,val_loss
0,0.75036687,0.6382858206751125,0.8119247555732727,0.4756550373030262
1,0.8219193,0.44140134260966907,0.8509403467178345,0.36252425944342426
2,0.86236495,0.34241839263137747,0.8819527626037598,0.3112476761935472
3,0.89351624,0.27509174542155745,0.8973589539527893,0.2658143533545048
4,0.91359454,0.22565954965774726,0.9099639654159546,0.23490452853476063
5,0.9268911,0.1942792925543829,0.9233693480491638,0.20913323296122954
6,0.9377863,0.1656261082534374,0.918967604637146,0.20761235218708302
7,0.946747,0.14163006310155585,0.9329732060432434,0.18569961990438114
8,0.9521501,0.12732224113314478,0.9327731132507324,0.19327656050570824
9,0.95601904,0.11580959997112661,0.936774730682373,0.1740564448910267
10,0.96064395,0.10547700170107001,0.9431772828102112,0.1822684310397514
11,0.9620447,0.10129354615381551,0.9373749494552612,0.17910777113470092
12,0.9620892,0.10145599151676024,0.942176878452301,0.16750295084564626
13,0.9672255,0.08843543945248059,0.9427770972251892,0.17901370910202422
14,0.96524656,0.09356529076553077,0.9405762553215027,0.17575089972750957
15,0.96787035,0.08831457263454726,0.9431772828102112,0.16543309463291656
16,0.9696047,0.08333968013980916,0.9489796161651611,0.17062010108923711
17,0.97245073,0.07824305608830827,0.9437775015830994,0.17161068232620463
18,0.9694045,0.0874394150108315,0.9489796161651611,0.16634226572804567
19,0.97385156,0.07416854327611747,0.9499800205230713,0.16588559604826428
20,0.9739405,0.07404483771938573,0.9467787146568298,0.17874796745203742
21,0.974652,0.07222237947480221,0.9491796493530273,0.17689044090832362
22,0.9692044,0.08821512624345064,0.9413765668869019,0.17609693646645633
23,0.97169477,0.07920493416986157,0.9481792449951172,0.1669712292761648
24,0.97511894,0.0723350395052113,0.9501800537109375,0.16775055093114594
25,0.9767421,0.06721117127195213,0.9483793377876282,0.1816341496792351
26,0.97916573,0.058108776010940354,0.9491796493530273,0.17890413453121956
27,0.9812336,0.05381500293630478,0.9515806436538696,0.18810964264527183
28,0.9785876,0.06211182703772854,0.9527811408042908,0.1685461395320629
29,0.97803175,0.06305595439446107,0.94777911901474,0.19785318526328682
