epoch,accuracy,loss,val_accuracy,val_loss
0,0.7314226,0.7704558282614804,0.738095223903656,0.6365496407465345
1,0.7720016,0.5735969004743641,0.7661064267158508,0.5741156110194933
2,0.8121359,0.4752659150438406,0.8381352424621582,0.39739236476517714
3,0.86300975,0.3473015240375646,0.87715083360672,0.31858804843434335
4,0.8877796,0.2879925693990433,0.8927571177482605,0.2740206023772844
5,0.90456706,0.24617053257510932,0.8985594511032104,0.26094549691596
6,0.91850847,0.214179596484606,0.9089635610580444,0.26728113619934896
7,0.9270912,0.19121312831289142,0.918367326259613,0.22931501709995103
8,0.935585,0.16802987077083287,0.9157662987709045,0.22547636345988897
9,0.9409214,0.1505511017543507,0.9257702827453613,0.21750282529904014
10,0.95203894,0.12650921569251916,0.9271708726882935,0.2276261922310428
11,0.9544626,0.1216079189064011,0.9411764740943909,0.18162455755908663
12,0.9600436,0.10681651013392204,0.9461784958839417,0.17394157616841216
13,0.96482414,0.09310403060413708,0.9373749494552612,0.1981363921892457
14,0.9655801,0.09452381603545354,0.94197678565979,0.1751967710690672
15,0.969538,0.08196537344342378,0.9459784030914307,0.17957813059892497
16,0.9724285,0.07425654295692927,0.9471789002418518,0.1882127572556122
17,0.97709787,0.06539622726343072,0.9565826058387756,0.1708945772465633
18,0.97716457,0.06300130896126148,0.953381359577179,0.17673985314827148
19,0.9795215,0.058128627516203714,0.952981173992157,0.16311915344049951
20,0.98105574,0.053606041754188524,0.9539815783500671,0.1704038614127673
21,0.98241204,0.051823326357395845,0.947378933429718,0.18702318844627314
22,0.98310137,0.05065544420852346,0.953381359577179,0.1696960088633308
23,0.9828345,0.05275782580282131,0.9513805508613586,0.17617348132251787
24,0.98343486,0.04938562059950682,0.9545818567276001,0.17864931182486385
25,0.9868813,0.03945972834796465,0.9609844088554382,0.17843930453670268
26,0.987704,0.038648188180928925,0.9541816711425781,0.20054397635719404
27,0.9863699,0.041384109631912996,0.953181266784668,0.22157558182231327
28,0.9857251,0.042968791085874994,0.9557822942733765,0.18645700654920552
29,0.98677015,0.04030241769325867,0.9577831029891968,0.17502702993839062
