epoch,accuracy,loss,val_accuracy,val_loss
0,0.7284653,0.8210773123091513,0.738095223903656,0.7615592802176718
1,0.72966605,0.7809626484090058,0.738095223903656,0.7945838272929334
2,0.7305554,0.809716576991724,0.738095223903656,0.7897874812642877
3,0.7305554,0.8056249635017172,0.738095223903656,0.792295985600623
4,0.7305554,0.8033229212924841,0.738095223903656,0.7935413734681037
5,0.7305554,0.8014232832269977,0.738095223903656,0.7914114964394724
6,0.7305554,0.8010196279821016,0.738095223903656,0.7915793704290112
7,0.7305554,0.8001966718230606,0.738095223903656,0.794495838625329
8,0.7305554,0.7999275996515706,0.738095223903656,0.7898980080008078
9,0.7305554,0.799422435493951,0.738095223903656,0.7892081580099081
10,0.7305554,0.7986250403734567,0.738095223903656,0.7889033021474657
11,0.7305554,0.7995109075691392,0.738095223903656,0.7891957289746114
12,0.7305554,0.7990040030841825,0.738095223903656,0.7895825547235115
13,0.7305554,0.7989999928130693,0.738095223903656,0.7891486200774942
14,0.7305554,0.7984511738101908,0.738095223903656,0.7887849939160463
15,0.7305554,0.7985093702670705,0.738095223903656,0.788366530813566
16,0.7305554,0.7975855296644251,0.738095223903656,0.7888870352790469
17,0.73131144,0.7762150760356861,0.738095223903656,0.7038384168898882
18,0.7444968,0.680259529571607,0.7663065195083618,0.6131575578878097
19,0.7714902,0.6020091362319071,0.7987194657325745,0.5594414390054118
20,0.7942589,0.5464509786349551,0.813925564289093,0.5087042335702592
21,0.8118246,0.5018944579402363,0.8201280236244202,0.48347404800734073
22,0.8279673,0.4547369227952423,0.8363345265388489,0.4268869412045519
23,0.8453773,0.4013524664104629,0.8489395976066589,0.40344662097941975
24,0.86060834,0.36879952512003916,0.8565425872802734,0.37518551841932757
25,0.8759728,0.3284876438723922,0.8393357396125793,0.421956824989212
26,0.8717926,0.33890758544589633,0.866746723651886,0.35404735966986206
27,0.89029217,0.2933483214231936,0.877350926399231,0.33279978532512555
28,0.90029794,0.26352783171895316,0.8827530741691589,0.336803107129998
29,0.90723526,0.25015281188184246,0.8769508004188538,0.3426549190781316
