epoch,accuracy,loss,val_accuracy,val_loss
0,0.7249522,0.8115897552229243,0.738095223903656,0.7159183020351314
1,0.7368257,0.6685580603542125,0.7629051804542542,0.5793061200596419
2,0.76695424,0.5576793638584363,0.7955182194709778,0.48771287043507744
3,0.8164273,0.4506372100857793,0.8409363627433777,0.4204649200268677
4,0.8616756,0.3579758166850697,0.8781512379646301,0.31378076184077375
5,0.8913817,0.28329550667814624,0.88975590467453,0.2881514728963733
6,0.91041493,0.24035761929896385,0.9075630307197571,0.24560729940446102
7,0.9252457,0.20112345361076625,0.9147658944129944,0.23496408623402096
8,0.9375639,0.1692232725418769,0.918567419052124,0.22230460810489586
9,0.9428781,0.15170010619914806,0.9253701567649841,0.20623253051544868
10,0.94961536,0.1341705852715686,0.9285714030265808,0.21492209419959923
11,0.9544848,0.12213368834591794,0.923969566822052,0.23253940287328997
12,0.96013254,0.10825695393156994,0.9371748566627502,0.22127764743296993
13,0.9648464,0.09573881191731178,0.9363745450973511,0.20271448062963132
14,0.9660915,0.0908981004207445,0.9387755393981934,0.21593744175679305
15,0.972006,0.07707963412015531,0.9357743263244629,0.20334295217110282
16,0.97362924,0.0710772488975438,0.9335734248161316,0.2392303363985422
17,0.97296214,0.07436655789471915,0.9331732988357544,0.23904044070497615
18,0.97354025,0.07681876917172067,0.942176878452301,0.2183618664312191
19,0.9753858,0.06681472542894291,0.9373749494552612,0.2147556878820139
20,0.9790101,0.057757218895039285,0.941776692867279,0.23412197508684107
21,0.9820341,0.049421963603690736,0.9437775015830994,0.21918072433722596
22,0.98310137,0.047923794288511096,0.9447779059410095,0.22831915234889733
23,0.9858585,0.04197312892278495,0.9471789002418518,0.21167957554964506
24,0.98401296,0.047459815676082324,0.9427770972251892,0.23316635884323708
25,0.9825455,0.05107315408567298,0.942376971244812,0.2312048229874492
26,0.98474675,0.04587828090046879,0.9447779059410095,0.2635708933546334
27,0.9852804,0.043798665054993656,0.9403761625289917,0.27414720530221826
28,0.9864366,0.03922166786407037,0.94777911901474,0.23138943532792602
29,0.9866812,0.039557270479319825,0.9437775015830994,0.23177940686758444
